ClefDate,Date,Jour,Semaine,Mois,Trimestre,Annee,Ferie
1,2024-06-09,Sunday,23,6,2,2024,Non
2,2024-12-05,Thursday,49,12,4,2024,Oui
3,2024-04-08,Monday,15,4,2,2024,Non
4,2024-11-11,Monday,46,11,4,2024,Non
5,2024-07-08,Monday,28,7,3,2024,Oui
6,2024-07-27,Saturday,30,7,3,2024,Non
7,2024-05-30,Thursday,22,5,2,2024,Oui
8,2024-08-22,Thursday,34,8,3,2024,Non
9,2024-07-15,Monday,29,7,3,2024,Oui
10,2024-01-11,Thursday,2,1,1,2024,Non
11,2024-02-03,Saturday,5,2,1,2024,Oui
12,2024-10-14,Monday,42,10,4,2024,Oui
13,2024-08-15,Thursday,33,8,3,2024,Non
14,2024-02-14,Wednesday,7,2,1,2024,Oui
15,2024-12-07,Saturday,49,12,4,2024,Oui
16,2024-03-31,Sunday,13,3,1,2024,Oui
17,2024-03-22,Friday,12,3,1,2024,Oui
18,2024-01-09,Tuesday,2,1,1,2024,Oui
19,2024-04-08,Monday,15,4,2,2024,Oui
20,2024-01-25,Thursday,4,1,1,2024,Oui
21,2024-12-20,Friday,51,12,4,2024,Oui
22,2024-07-28,Sunday,30,7,3,2024,Oui
23,2024-02-21,Wednesday,8,2,1,2024,Oui
24,2024-04-03,Wednesday,14,4,2,2024,Non
25,2024-02-10,Saturday,6,2,1,2024,Non
26,2024-06-15,Saturday,24,6,2,2024,Non
27,2024-04-24,Wednesday,17,4,2,2024,Non
28,2024-07-11,Thursday,28,7,3,2024,Non
29,2024-04-19,Friday,16,4,2,2024,Non
30,2024-08-20,Tuesday,34,8,3,2024,Oui
31,2024-01-30,Tuesday,5,1,1,2024,Oui
32,2024-10-14,Monday,42,10,4,2024,Oui
33,2024-06-16,Sunday,24,6,2,2024,Non
34,2024-08-06,Tuesday,32,8,3,2024,Non
35,2024-09-29,Sunday,39,9,3,2024,Oui
36,2024-03-02,Saturday,9,3,1,2024,Non
37,2024-01-25,Thursday,4,1,1,2024,Oui
38,2024-06-21,Friday,25,6,2,2024,Non
39,2024-03-10,Sunday,10,3,1,2024,Oui
40,2023-12-24,Sunday,51,12,4,2023,Oui
41,2024-11-22,Friday,47,11,4,2024,Non
42,2024-04-12,Friday,15,4,2,2024,Oui
43,2024-09-10,Tuesday,37,9,3,2024,Non
44,2023-12-27,Wednesday,52,12,4,2023,Oui
45,2024-05-10,Friday,19,5,2,2024,Oui
46,2024-06-11,Tuesday,24,6,2,2024,Non
47,2024-04-12,Friday,15,4,2,2024,Non
48,2024-12-03,Tuesday,49,12,4,2024,Non
49,2024-11-14,Thursday,46,11,4,2024,Oui
50,2024-10-03,Thursday,40,10,4,2024,Non
51,2024-12-09,Monday,50,12,4,2024,Oui
52,2024-01-29,Monday,5,1,1,2024,Oui
53,2024-06-22,Saturday,25,6,2,2024,Non
