ClefTemps,Temps,Heure,Minute,AM_PM,JourNuit,HeureCreuse
1,17:00,17,0,PM,Jour,Non
2,01:00,1,0,AM,Nuit,Oui
3,08:45,8,45,AM,Jour,Non
4,13:45,13,45,PM,Jour,Non
5,06:45,6,45,AM,Jour,Non
6,00:45,0,45,AM,Nuit,Oui
7,08:15,8,15,AM,Jour,Non
8,17:15,17,15,PM,Jour,Non
9,16:45,16,45,PM,Jour,Non
10,00:30,0,30,AM,Nuit,Oui
11,12:30,12,30,PM,Jour,Non
12,17:00,17,0,PM,Jour,Non
13,22:00,22,0,PM,Nuit,Non
14,00:15,0,15,AM,Nuit,Oui
15,05:00,5,0,AM,Nuit,Oui
16,15:45,15,45,PM,Jour,Non
17,05:15,5,15,AM,Nuit,Oui
18,04:45,4,45,AM,Nuit,Oui
19,21:00,21,0,PM,Nuit,Non
20,08:15,8,15,AM,Jour,Non
21,18:00,18,0,PM,Jour,Non
22,08:45,8,45,AM,Jour,Non
23,17:15,17,15,PM,Jour,Non
24,16:00,16,0,PM,Jour,Non
25,17:30,17,30,PM,Jour,Non
26,01:15,1,15,AM,Nuit,Oui
27,10:15,10,15,AM,Jour,Non
28,13:15,13,15,PM,Jour,Non
29,16:30,16,30,PM,Jour,Non
30,19:30,19,30,PM,Nuit,Non
31,06:30,6,30,AM,Jour,Non
32,05:30,5,30,AM,Nuit,Oui
33,20:30,20,30,PM,Nuit,Non
34,19:00,19,0,PM,Nuit,Non
35,21:30,21,30,PM,Nuit,Non
36,07:30,7,30,AM,Jour,Non
37,04:00,4,0,AM,Nuit,Oui
38,15:15,15,15,PM,Jour,Non
39,09:00,9,0,AM,Jour,Non
40,20:15,20,15,PM,Nuit,Non
41,10:15,10,15,AM,Jour,Non
42,09:30,9,30,AM,Jour,Non
43,11:30,11,30,AM,Jour,Non
44,08:45,8,45,AM,Jour,Non
45,19:45,19,45,PM,Nuit,Non
46,11:15,11,15,AM,Jour,Non
47,22:30,22,30,PM,Nuit,Non
48,22:45,22,45,PM,Nuit,Non
